SUBCATEGORIA;DESCR_SUBCAT;DESCRABREV;CATEGORIA;DESCR_CAT;GRUPO;CAPITULO
Y107;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - fazenda;Y10.7 Fazenda;Y10;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y108;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - outros locais especificados;Y10.8 Outr locais espec;Y10;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y109;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada - local não especificado;Y10.9 Local NE;Y10;Envenenamento [intoxicação] por e exposição a analgésicos, antipiréticos e anti-reumáticos não-opiáceos, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y110;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - residência;Y11.0 Residencia;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y111;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - habitação coletiva;Y11.1 Habitacao coletiva;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y112;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y11.2 Escolas outr instit areas admin publica;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y113;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - área para a prática de esportes e atletismo;Y11.3 Area p/a pratica de esportes e atletismo;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y114;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - rua e estrada;Y11.4 Rua e estrada;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y115;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - áreas de comércio e de serviços;Y11.5 Areas de comercio e de servicos;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y116;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - áreas industriais e em construção;Y11.6 Areas industriais e em construcao;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y117;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - fazenda;Y11.7 Fazenda;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y118;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - outros locais especificados;Y11.8 Outr locais espec;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y119;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada - local não especificado;Y11.9 Local NE;Y11;Envenenamento [intoxicação] por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y120;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - residência;Y12.0 Residencia;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y121;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - habitação coletiva;Y12.1 Habitacao coletiva;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y122;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y12.2 Escolas outr instit areas admin publica;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y123;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - área para a prática de esportes e atletismo;Y12.3 Area p/a pratica de esportes e atletismo;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y124;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - rua e estrada;Y12.4 Rua e estrada;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y125;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - áreas de comércio e de serviços;Y12.5 Areas de comercio e de servicos;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y126;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - áreas industriais e em construção;Y12.6 Areas industriais e em construcao;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y127;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - fazenda;Y12.7 Fazenda;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y128;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - outros locais especificados;Y12.8 Outr locais espec;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y129;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada - local não especificado;Y12.9 Local NE;Y12;Envenenamento [intoxicação] por e exposição a narcóticos e a psicodislépticos [alucinógenos] não classificados em outra parte, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y130;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - residência;Y13.0 Residencia;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y131;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - habitação coletiva;Y13.1 Habitacao coletiva;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y132;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y13.2 Escolas outr instit areas admin publica;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y133;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - área para a prática de esportes e atletismo;Y13.3 Area p/a pratica de esportes e atletismo;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y134;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - rua e estrada;Y13.4 Rua e estrada;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y135;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - áreas de comércio e de serviços;Y13.5 Areas de comercio e de servicos;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y136;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - áreas industriais e em construção;Y13.6 Areas industriais e em construcao;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y137;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - fazenda;Y13.7 Fazenda;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y138;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - outros locais especificados;Y13.8 Outr locais espec;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y139;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada - local não especificado;Y13.9 Local NE;Y13;Envenenamento [intoxicação] por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y140;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - residência;Y14.0 Residencia;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y141;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - habitação coletiva;Y14.1 Habitacao coletiva;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y142;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y14.2 Escolas outr instit areas admin publica;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y143;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - área para a prática de esportes e atletismo;Y14.3 Area p/a pratica de esportes e atletismo;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y144;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - rua e estrada;Y14.4 Rua e estrada;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y145;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - áreas de comércio e de serviços;Y14.5 Areas de comercio e de servicos;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y146;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - áreas industriais e em construção;Y14.6 Areas industriais e em construcao;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y147;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - fazenda;Y14.7 Fazenda;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y148;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - outros locais especificados;Y14.8 Outr locais espec;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y149;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada - local não especificado;Y14.9 Local NE;Y14;Envenenamento [intoxicação] por e exposição a outras drogas, medicamentos e substâncias biológicas e as não especificadas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y150;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - residência;Y15.0 Residencia;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y151;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - habitação coletiva;Y15.1 Habitacao coletiva;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y152;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y15.2 Escolas outr instit areas admin publica;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y153;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - área para a prática de esportes e atletismo;Y15.3 Area p/a pratica de esportes e atletismo;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y154;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - rua e estrada;Y15.4 Rua e estrada;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y155;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - áreas de comércio e de serviços;Y15.5 Areas de comercio e de servicos;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y156;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - áreas industriais e em construção;Y15.6 Areas industriais e em construcao;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y157;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - fazenda;Y15.7 Fazenda;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y158;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - outros locais especificados;Y15.8 Outr locais espec;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y159;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada - local não especificado;Y15.9 Local NE;Y15;Envenenamento [intoxicação] por e exposição ao álcool, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y160;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - residência;Y16.0 Residencia;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y161;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - habitação coletiva;Y16.1 Habitacao coletiva;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y162;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y16.2 Escolas outr instit areas admin publica;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y163;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - área para a prática de esportes e atletismo;Y16.3 Area p/a pratica de esportes e atletismo;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y164;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - rua e estrada;Y16.4 Rua e estrada;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y165;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - áreas de comércio e de serviços;Y16.5 Areas de comercio e de servicos;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y166;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - áreas industriais e em construção;Y16.6 Areas industriais e em construcao;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y167;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - fazenda;Y16.7 Fazenda;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y168;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - outros locais especificados;Y16.8 Outr locais espec;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y169;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada - local não especificado;Y16.9 Local NE;Y16;Envenenamento [intoxicação] por e exposição a solventes orgânicos e hidrocarbonetos halogenados e seus vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y170;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - residência;Y17.0 Residencia;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y171;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - habitação coletiva;Y17.1 Habitacao coletiva;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y172;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y17.2 Escolas outr instit areas admin publica;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y173;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - área para a prática de esportes e atletismo;Y17.3 Area p/a pratica de esportes e atletismo;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y174;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - rua e estrada;Y17.4 Rua e estrada;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y175;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - áreas de comércio e de serviços;Y17.5 Areas de comercio e de servicos;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y176;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - áreas industriais e em construção;Y17.6 Areas industriais e em construcao;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y177;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - fazenda;Y17.7 Fazenda;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y178;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - outros locais especificados;Y17.8 Outr locais espec;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y179;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada - local não especificado;Y17.9 Local NE;Y17;Envenenamento [intoxicação] por e exposição a outros gases e vapores, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y180;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - residência;Y18.0 Residencia;Y18;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y181;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - habitação coletiva;Y18.1 Habitacao coletiva;Y18;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y182;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - escolas, outras instituições e áreas de administração pública;Y18.2 Escolas outr instit areas admin publica;Y18;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
Y183;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada - área para a prática de esportes e atletismo;Y18.3 Area p/a pratica de esportes e atletismo;Y18;Envenenamento [intoxicação] por e exposição a pesticidas, intenção não determinada;Eventos (fatos) cuja intenção é indeterminada;Causas externas de morbidade e de mortalidade
